A000000,A0A0000,A020000,A030000,A040000,A050000,A060000,A070000,A080000,A090000
A000603,A0A0603,A020603,A030603,A040603,A050603,A060603,A070603,A080603,A090603
A000604,A0A0604,A020604,A030604,A040604,A050604,A060604,A070604,A080604,A090604
A000605,A0A0605,A020605,A030605,A040605,A050605,A060605,A070605,A080605,A090605
A000606,A0A0606,A020606,A030606,A040606,A050606,A060606,A070606,A080606,A090606
A000607,A0A0607,A020607,A030607,A040607,A050607,A060607,A070607,A080607,A090607
A000608,A0A0608,A020608,A030608,A040608,A050608,A060608,A070608,A080608,A090608
A000609,A0A0609,A020609,A030609,A040609,A050609,A060609,A070609,A080609,A090609
A0006A0,A0A06A0,A0206A0,A0306A0,A0406A0,A0506A0,A0606A0,A0706A0,A0806A0,A0906A0
A0006AA,A0A06AA,A0206AA,A0306AA,A0406AA,A0506AA,A0606AA,A0706AA,A0806AA,A0906AA
A0006A2,A0A06A2,A0206A2,A0306A2,A0406A2,A0506A2,A0606A2,A0706A2,A0806A2,A0906A2
A0006A3,A0A06A3,A0206A3,A0306A3,A0406A3,A0506A3,A0606A3,A0706A3,A0806A3,A0906A3
A0006A4,A0A06A4,A0206A4,A0306A4,A0406A4,A0506A4,A0606A4,A0706A4,A0806A4,A0906A4
A0006A5,A0A06A5,A0206A5,A0306A5,A0406A5,A0506A5,A0606A5,A0706A5,A0806A5,A0906A5
A0006A6,A0A06A6,A0206A6,A0306A6,A0406A6,A0506A6,A0606A6,A0706A6,A0806A6,A0906A6
A0006A7,A0A06A7,A0206A7,A0306A7,A0406A7,A0506A7,A0606A7,A0706A7,A0806A7,A0906A7
A0006A8,A0A06A8,A0206A8,A0306A8,A0406A8,A0506A8,A0606A8,A0706A8,A0806A8,A0906A8
A0006A9,A0A06A9,A0206A9,A0306A9,A0406A9,A0506A9,A0606A9,A0706A9,A0806A9,A0906A9
A000620,A0A0620,A020620,A030620,A040620,A050620,A060620,A070620,A080620,A090620
A00062A,A0A062A,A02062A,A03062A,A04062A,A05062A,A06062A,A07062A,A08062A,A09062A
A000622,A0A0622,A020622,A030622,A040622,A050622,A060622,A070622,A080622,A090622
A000623,A0A0623,A020623,A030623,A040623,A050623,A060623,A070623,A080623,A090623
A000624,A0A0624,A020624,A030624,A040624,A050624,A060624,A070624,A080624,A090624
A000625,A0A0625,A020625,A030625,A040625,A050625,A060625,A070625,A080625,A090625
A000626,A0A0626,A020626,A030626,A040626,A050626,A060626,A070626,A080626,A090626
A000627,A0A0627,A020627,A030627,A040627,A050627,A060627,A070627,A080627,A090627
A000628,A0A0628,A020628,A030628,A040628,A050628,A060628,A070628,A080628,A090628
A000629,A0A0629,A020629,A030629,A040629,A050629,A060629,A070629,A080629,A090629
A000630,A0A0630,A020630,A030630,A040630,A050630,A060630,A070630,A080630,A090630
A00063A,A0A063A,A02063A,A03063A,A04063A,A05063A,A06063A,A07063A,A08063A,A09063A
A000632,A0A0632,A020632,A030632,A040632,A050632,A060632,A070632,A080632,A090632
A000633,A0A0633,A020633,A030633,A040633,A050633,A060633,A070633,A080633,A090633
A000634,A0A0634,A020634,A030634,A040634,A050634,A060634,A070634,A080634,A090634
A000635,A0A0635,A020635,A030635,A040635,A050635,A060635,A070635,A080635,A090635
A000636,A0A0636,A020636,A030636,A040636,A050636,A060636,A070636,A080636,A090636
A000637,A0A0637,A020637,A030637,A040637,A050637,A060637,A070637,A080637,A090637
A000638,A0A0638,A020638,A030638,A040638,A050638,A060638,A070638,A080638,A090638
A000639,A0A0639,A020639,A030639,A040639,A050639,A060639,A070639,A080639,A090639
A000640,A0A0640,A020640,A030640,A040640,A050640,A060640,A070640,A080640,A090640
A00064A,A0A064A,A02064A,A03064A,A04064A,A05064A,A06064A,A07064A,A08064A,A09064A
A000642,A0A0642,A020642,A030642,A040642,A050642,A060642,A070642,A080642,A090642
A000643,A0A0643,A020643,A030643,A040643,A050643,A060643,A070643,A080643,A090643
A000644,A0A0644,A020644,A030644,A040644,A050644,A060644,A070644,A080644,A090644
A000645,A0A0645,A020645,A030645,A040645,A050645,A060645,A070645,A080645,A090645
A000646,A0A0646,A020646,A030646,A040646,A050646,A060646,A070646,A080646,A090646
A000647,A0A0647,A020647,A030647,A040647,A050647,A060647,A070647,A080647,A090647
A000648,A0A0648,A020648,A030648,A040648,A050648,A060648,A070648,A080648,A090648
A000649,A0A0649,A020649,A030649,A040649,A050649,A060649,A070649,A080649,A090649
A000650,A0A0650,A020650,A030650,A040650,A050650,A060650,A070650,A080650,A090650
A00065A,A0A065A,A02065A,A03065A,A04065A,A05065A,A06065A,A07065A,A08065A,A09065A
A000652,A0A0652,A020652,A030652,A040652,A050652,A060652,A070652,A080652,A090652
A000653,A0A0653,A020653,A030653,A040653,A050653,A060653,A070653,A080653,A090653
A000654,A0A0654,A020654,A030654,A040654,A050654,A060654,A070654,A080654,A090654
A000655,A0A0655,A020655,A030655,A040655,A050655,A060655,A070655,A080655,A090655
A000656,A0A0656,A020656,A030656,A040656,A050656,A060656,A070656,A080656,A090656
A000657,A0A0657,A020657,A030657,A040657,A050657,A060657,A070657,A080657,A090657
A000658,A0A0658,A020658,A030658,A040658,A050658,A060658,A070658,A080658,A090658
A000659,A0A0659,A020659,A030659,A040659,A050659,A060659,A070659,A080659,A090659
A000660,A0A0660,A020660,A030660,A040660,A050660,A060660,A070660,A080660,A090660
A00066A,A0A066A,A02066A,A03066A,A04066A,A05066A,A06066A,A07066A,A08066A,A09066A
A000662,A0A0662,A020662,A030662,A040662,A050662,A060662,A070662,A080662,A090662
A000663,A0A0663,A020663,A030663,A040663,A050663,A060663,A070663,A080663,A090663
A000664,A0A0664,A020664,A030664,A040664,A050664,A060664,A070664,A080664,A090664
A000665,A0A0665,A020665,A030665,A040665,A050665,A060665,A070665,A080665,A090665
A000666,A0A0666,A020666,A030666,A040666,A050666,A060666,A070666,A080666,A090666
A000667,A0A0667,A020667,A030667,A040667,A050667,A060667,A070667,A080667,A090667
A000668,A0A0668,A020668,A030668,A040668,A050668,A060668,A070668,A080668,A090668
A000669,A0A0669,A020669,A030669,A040669,A050669,A060669,A070669,A080669,A090669
A000670,A0A0670,A020670,A030670,A040670,A050670,A060670,A070670,A080670,A090670
A00067A,A0A067A,A02067A,A03067A,A04067A,A05067A,A06067A,A07067A,A08067A,A09067A
A000672,A0A0672,A020672,A030672,A040672,A050672,A060672,A070672,A080672,A090672
A000673,A0A0673,A020673,A030673,A040673,A050673,A060673,A070673,A080673,A090673
A000674,A0A0674,A020674,A030674,A040674,A050674,A060674,A070674,A080674,A090674
A000675,A0A0675,A020675,A030675,A040675,A050675,A060675,A070675,A080675,A090675
A000676,A0A0676,A020676,A030676,A040676,A050676,A060676,A070676,A080676,A090676
A000677,A0A0677,A020677,A030677,A040677,A050677,A060677,A070677,A080677,A090677
A000678,A0A0678,A020678,A030678,A040678,A050678,A060678,A070678,A080678,A090678
A000679,A0A0679,A020679,A030679,A040679,A050679,A060679,A070679,A080679,A090679
A000680,A0A0680,A020680,A030680,A040680,A050680,A060680,A070680,A080680,A090680
A00068A,A0A068A,A02068A,A03068A,A04068A,A05068A,A06068A,A07068A,A08068A,A09068A
A000682,A0A0682,A020682,A030682,A040682,A050682,A060682,A070682,A080682,A090682
A000683,A0A0683,A020683,A030683,A040683,A050683,A060683,A070683,A080683,A090683
A000684,A0A0684,A020684,A030684,A040684,A050684,A060684,A070684,A080684,A090684
A000685,A0A0685,A020685,A030685,A040685,A050685,A060685,A070685,A080685,A090685
A000686,A0A0686,A020686,A030686,A040686,A050686,A060686,A070686,A080686,A090686
A000687,A0A0687,A020687,A030687,A040687,A050687,A060687,A070687,A080687,A090687
A000688,A0A0688,A020688,A030688,A040688,A050688,A060688,A070688,A080688,A090688
A000689,A0A0689,A020689,A030689,A040689,A050689,A060689,A070689,A080689,A090689
A000690,A0A0690,A020690,A030690,A040690,A050690,A060690,A070690,A080690,A090690
A00069A,A0A069A,A02069A,A03069A,A04069A,A05069A,A06069A,A07069A,A08069A,A09069A
A000692,A0A0692,A020692,A030692,A040692,A050692,A060692,A070692,A080692,A090692
A000693,A0A0693,A020693,A030693,A040693,A050693,A060693,A070693,A080693,A090693
A000694,A0A0694,A020694,A030694,A040694,A050694,A060694,A070694,A080694,A090694
A000695,A0A0695,A020695,A030695,A040695,A050695,A060695,A070695,A080695,A090695
A000696,A0A0696,A020696,A030696,A040696,A050696,A060696,A070696,A080696,A090696
A000697,A0A0697,A020697,A030697,A040697,A050697,A060697,A070697,A080697,A090697
A000698,A0A0698,A020698,A030698,A040698,A050698,A060698,A070698,A080698,A090698
A000699,A0A0699,A020699,A030699,A040699,A050699,A060699,A070699,A080699,A090699
A000700,A0A0700,A020700,A030700,A040700,A050700,A060700,A070700,A080700,A090700
A00070A,A0A070A,A02070A,A03070A,A04070A,A05070A,A06070A,A07070A,A08070A,A09070A
A000702,A0A0702,A020702,A030702,A040702,A050702,A060702,A070702,A080702,A090702
A000703,A0A0703,A020703,A030703,A040703,A050703,A060703,A070703,A080703,A090703
A000704,A0A0704,A020704,A030704,A040704,A050704,A060704,A070704,A080704,A090704
A000705,A0A0705,A020705,A030705,A040705,A050705,A060705,A070705,A080705,A090705
A000706,A0A0706,A020706,A030706,A040706,A050706,A060706,A070706,A080706,A090706
A000707,A0A0707,A020707,A030707,A040707,A050707,A060707,A070707,A080707,A090707
A000708,A0A0708,A020708,A030708,A040708,A050708,A060708,A070708,A080708,A090708
A000709,A0A0709,A020709,A030709,A040709,A050709,A060709,A070709,A080709,A090709
A0007A0,A0A07A0,A0207A0,A0307A0,A0407A0,A0507A0,A0607A0,A0707A0,A0807A0,A0907A0
A0007AA,A0A07AA,A0207AA,A0307AA,A0407AA,A0507AA,A0607AA,A0707AA,A0807AA,A0907AA
A0007A2,A0A07A2,A0207A2,A0307A2,A0407A2,A0507A2,A0607A2,A0707A2,A0807A2,A0907A2
A0007A3,A0A07A3,A0207A3,A0307A3,A0407A3,A0507A3,A0607A3,A0707A3,A0807A3,A0907A3
A0007A4,A0A07A4,A0207A4,A0307A4,A0407A4,A0507A4,A0607A4,A0707A4,A0807A4,A0907A4
A0007A5,A0A07A5,A0207A5,A0307A5,A0407A5,A0507A5,A0607A5,A0707A5,A0807A5,A0907A5
A0007A6,A0A07A6,A0207A6,A0307A6,A0407A6,A0507A6,A0607A6,A0707A6,A0807A6,A0907A6
A0007A7,A0A07A7,A0207A7,A0307A7,A0407A7,A0507A7,A0607A7,A0707A7,A0807A7,A0907A7
A0007A8,A0A07A8,A0207A8,A0307A8,A0407A8,A0507A8,A0607A8,A0707A8,A0807A8,A0907A8
A0007A9,A0A07A9,A0207A9,A0307A9,A0407A9,A0507A9,A0607A9,A0707A9,A0807A9,A0907A9
A000720,A0A0720,A020720,A030720,A040720,A050720,A060720,A070720,A080720,A090720
A00072A,A0A072A,A02072A,A03072A,A04072A,A05072A,A06072A,A07072A,A08072A,A09072A
A000722,A0A0722,A020722,A030722,A040722,A050722,A060722,A070722,A080722,A090722
A000723,A0A0723,A020723,A030723,A040723,A050723,A060723,A070723,A080723,A090723
A000724,A0A0724,A020724,A030724,A040724,A050724,A060724,A070724,A080724,A090724
A000725,A0A0725,A020725,A030725,A040725,A050725,A060725,A070725,A080725,A090725
A000726,A0A0726,A020726,A030726,A040726,A050726,A060726,A070726,A080726,A090726
A000727,A0A0727,A020727,A030727,A040727,A050727,A060727,A070727,A080727,A090727
A000728,A0A0728,A020728,A030728,A040728,A050728,A060728,A070728,A080728,A090728
A000729,A0A0729,A020729,A030729,A040729,A050729,A060729,A070729,A080729,A090729
A000730,A0A0730,A020730,A030730,A040730,A050730,A060730,A070730,A080730,A090730
A00073A,A0A073A,A02073A,A03073A,A04073A,A05073A,A06073A,A07073A,A08073A,A09073A
A000732,A0A0732,A020732,A030732,A040732,A050732,A060732,A070732,A080732,A090732
A000733,A0A0733,A020733,A030733,A040733,A050733,A060733,A070733,A080733,A090733
A000734,A0A0734,A020734,A030734,A040734,A050734,A060734,A070734,A080734,A090734
A000735,A0A0735,A020735,A030735,A040735,A050735,A060735,A070735,A080735,A090735
A000736,A0A0736,A020736,A030736,A040736,A050736,A060736,A070736,A080736,A090736
A000737,A0A0737,A020737,A030737,A040737,A050737,A060737,A070737,A080737,A090737
A000738,A0A0738,A020738,A030738,A040738,A050738,A060738,A070738,A080738,A090738
A000739,A0A0739,A020739,A030739,A040739,A050739,A060739,A070739,A080739,A090739
A000740,A0A0740,A020740,A030740,A040740,A050740,A060740,A070740,A080740,A090740
A00074A,A0A074A,A02074A,A03074A,A04074A,A05074A,A06074A,A07074A,A08074A,A09074A
A000742,A0A0742,A020742,A030742,A040742,A050742,A060742,A070742,A080742,A090742
A000743,A0A0743,A020743,A030743,A040743,A050743,A060743,A070743,A080743,A090743
A000744,A0A0744,A020744,A030744,A040744,A050744,A060744,A070744,A080744,A090744
A000745,A0A0745,A020745,A030745,A040745,A050745,A060745,A070745,A080745,A090745
A000746,A0A0746,A020746,A030746,A040746,A050746,A060746,A070746,A080746,A090746
A000747,A0A0747,A020747,A030747,A040747,A050747,A060747,A070747,A080747,A090747
A000748,A0A0748,A020748,A030748,A040748,A050748,A060748,A070748,A080748,A090748
A000749,A0A0749,A020749,A030749,A040749,A050749,A060749,A070749,A080749,A090749
A000750,A0A0750,A020750,A030750,A040750,A050750,A060750,A070750,A080750,A090750
A00075A,A0A075A,A02075A,A03075A,A04075A,A05075A,A06075A,A07075A,A08075A,A09075A
A000752,A0A0752,A020752,A030752,A040752,A050752,A060752,A070752,A080752,A090752
A000753,A0A0753,A020753,A030753,A040753,A050753,A060753,A070753,A080753,A090753
A000754,A0A0754,A020754,A030754,A040754,A050754,A060754,A070754,A080754,A090754
A000755,A0A0755,A020755,A030755,A040755,A050755,A060755,A070755,A080755,A090755
A000756,A0A0756,A020756,A030756,A040756,A050756,A060756,A070756,A080756,A090756
A000757,A0A0757,A020757,A030757,A040757,A050757,A060757,A070757,A080757,A090757
A000758,A0A0758,A020758,A030758,A040758,A050758,A060758,A070758,A080758,A090758
A000759,A0A0759,A020759,A030759,A040759,A050759,A060759,A070759,A080759,A090759
A000760,A0A0760,A020760,A030760,A040760,A050760,A060760,A070760,A080760,A090760
A00076A,A0A076A,A02076A,A03076A,A04076A,A05076A,A06076A,A07076A,A08076A,A09076A
A000762,A0A0762,A020762,A030762,A040762,A050762,A060762,A070762,A080762,A090762
A000763,A0A0763,A020763,A030763,A040763,A050763,A060763,A070763,A080763,A090763
A000764,A0A0764,A020764,A030764,A040764,A050764,A060764,A070764,A080764,A090764
A000765,A0A0765,A020765,A030765,A040765,A050765,A060765,A070765,A080765,A090765
A000766,A0A0766,A020766,A030766,A040766,A050766,A060766,A070766,A080766,A090766
A000767,A0A0767,A020767,A030767,A040767,A050767,A060767,A070767,A080767,A090767
A000768,A0A0768,A020768,A030768,A040768,A050768,A060768,A070768,A080768,A090768
A000769,A0A0769,A020769,A030769,A040769,A050769,A060769,A070769,A080769,A090769
A000770,A0A0770,A020770,A030770,A040770,A050770,A060770,A070770,A080770,A090770
A00077A,A0A077A,A02077A,A03077A,A04077A,A05077A,A06077A,A07077A,A08077A,A09077A
A000772,A0A0772,A020772,A030772,A040772,A050772,A060772,A070772,A080772,A090772
A000773,A0A0773,A020773,A030773,A040773,A050773,A060773,A070773,A080773,A090773
A000774,A0A0774,A020774,A030774,A040774,A050774,A060774,A070774,A080774,A090774
A000775,A0A0775,A020775,A030775,A040775,A050775,A060775,A070775,A080775,A090775
A000776,A0A0776,A020776,A030776,A040776,A050776,A060776,A070776,A080776,A090776
A000777,A0A0777,A020777,A030777,A040777,A050777,A060777,A070777,A080777,A090777
A000778,A0A0778,A020778,A030778,A040778,A050778,A060778,A070778,A080778,A090778
A000779,A0A0779,A020779,A030779,A040779,A050779,A060779,A070779,A080779,A090779
A000780,A0A0780,A020780,A030780,A040780,A050780,A060780,A070780,A080780,A090780
A00078A,A0A078A,A02078A,A03078A,A04078A,A05078A,A06078A,A07078A,A08078A,A09078A
A000782,A0A0782,A020782,A030782,A040782,A050782,A060782,A070782,A080782,A090782
A000783,A0A0783,A020783,A030783,A040783,A050783,A060783,A070783,A080783,A090783
A000784,A0A0784,A020784,A030784,A040784,A050784,A060784,A070784,A080784,A090784
A000785,A0A0785,A020785,A030785,A040785,A050785,A060785,A070785,A080785,A090785
A000786,A0A0786,A020786,A030786,A040786,A050786,A060786,A070786,A080786,A090786
A000787,A0A0787,A020787,A030787,A040787,A050787,A060787,A070787,A080787,A090787
A000788,A0A0788,A020788,A030788,A040788,A050788,A060788,A070788,A080788,A090788
A000789,A0A0789,A020789,A030789,A040789,A050789,A060789,A070789,A080789,A090789
A000790,A0A0790,A020790,A030790,A040790,A050790,A060790,A070790,A080790,A090790
A00079A,A0A079A,A02079A,A03079A,A04079A,A05079A,A06079A,A07079A,A08079A,A09079A
A000792,A0A0792,A020792,A030792,A040792,A050792,A060792,A070792,A080792,A090792
A000793,A0A0793,A020793,A030793,A040793,A050793,A060793,A070793,A080793,A090793
A000794,A0A0794,A020794,A030794,A040794,A050794,A060794,A070794,A080794,A090794
A000795,A0A0795,A020795,A030795,A040795,A050795,A060795,A070795,A080795,A090795
A000796,A0A0796,A020796,A030796,A040796,A050796,A060796,A070796,A080796,A090796
A000797,A0A0797,A020797,A030797,A040797,A050797,A060797,A070797,A080797,A090797
A000798,A0A0798,A020798,A030798,A040798,A050798,A060798,A070798,A080798,A090798
A000799,A0A0799,A020799,A030799,A040799,A050799,A060799,A070799,A080799,A090799
A000800,A0A0800,A020800,A030800,A040800,A050800,A060800,A070800,A080800,A090800
A00080A,A0A080A,A02080A,A03080A,A04080A,A05080A,A06080A,A07080A,A08080A,A09080A
A000802,A0A0802,A020802,A030802,A040802,A050802,A060802,A070802,A080802,A090802
A000803,A0A0803,A020803,A030803,A040803,A050803,A060803,A070803,A080803,A090803
A000804,A0A0804,A020804,A030804,A040804,A050804,A060804,A070804,A080804,A090804
A000805,A0A0805,A020805,A030805,A040805,A050805,A060805,A070805,A080805,A090805
A000806,A0A0806,A020806,A030806,A040806,A050806,A060806,A070806,A080806,A090806
A000807,A0A0807,A020807,A030807,A040807,A050807,A060807,A070807,A080807,A090807
A000808,A0A0808,A020808,A030808,A040808,A050808,A060808,A070808,A080808,A090808
A000809,A0A0809,A020809,A030809,A040809,A050809,A060809,A070809,A080809,A090809
A0008A0,A0A08A0,A0208A0,A0308A0,A0408A0,A0508A0,A0608A0,A0708A0,A0808A0,A0908A0
A0008AA,A0A08AA,A0208AA,A0308AA,A0408AA,A0508AA,A0608AA,A0708AA,A0808AA,A0908AA
A0008A2,A0A08A2,A0208A2,A0308A2,A0408A2,A0508A2,A0608A2,A0708A2,A0808A2,A0908A2
A0008A3,A0A08A3,A0208A3,A0308A3,A0408A3,A0508A3,A0608A3,A0708A3,A0808A3,A0908A3
A0008A4,A0A08A4,A0208A4,A0308A4,A0408A4,A0508A4,A0608A4,A0708A4,A0808A4,A0908A4
A0008A5,A0A08A5,A0208A5,A0308A5,A0408A5,A0508A5,A0608A5,A0708A5,A0808A5,A0908A5
A0008A6,A0A08A6,A0208A6,A0308A6,A0408A6,A0508A6,A0608A6,A0708A6,A0808A6,A0908A6
A0008A7,A0A08A7,A0208A7,A0308A7,A0408A7,A0508A7,A0608A7,A0708A7,A0808A7,A0908A7
A0008A8,A0A08A8,A0208A8,A0308A8,A0408A8,A0508A8,A0608A8,A0708A8,A0808A8,A0908A8
A0008A9,A0A08A9,A0208A9,A0308A9,A0408A9,A0508A9,A0608A9,A0708A9,A0808A9,A0908A9
A000820,A0A0820,A020820,A030820,A040820,A050820,A060820,A070820,A080820,A090820
A00082A,A0A082A,A02082A,A03082A,A04082A,A05082A,A06082A,A07082A,A08082A,A09082A
A000822,A0A0822,A020822,A030822,A040822,A050822,A060822,A070822,A080822,A090822
A000823,A0A0823,A020823,A030823,A040823,A050823,A060823,A070823,A080823,A090823
A000824,A0A0824,A020824,A030824,A040824,A050824,A060824,A070824,A080824,A090824
A000825,A0A0825,A020825,A030825,A040825,A050825,A060825,A070825,A080825,A090825
A000826,A0A0826,A020826,A030826,A040826,A050826,A060826,A070826,A080826,A090826
A000827,A0A0827,A020827,A030827,A040827,A050827,A060827,A070827,A080827,A090827
A000828,A0A0828,A020828,A030828,A040828,A050828,A060828,A070828,A080828,A090828
A000829,A0A0829,A020829,A030829,A040829,A050829,A060829,A070829,A080829,A090829
A000830,A0A0830,A020830,A030830,A040830,A050830,A060830,A070830,A080830,A090830
A00083A,A0A083A,A02083A,A03083A,A04083A,A05083A,A06083A,A07083A,A08083A,A09083A
A000832,A0A0832,A020832,A030832,A040832,A050832,A060832,A070832,A080832,A090832
A000833,A0A0833,A020833,A030833,A040833,A050833,A060833,A070833,A080833,A090833
A000834,A0A0834,A020834,A030834,A040834,A050834,A060834,A070834,A080834,A090834
A000835,A0A0835,A020835,A030835,A040835,A050835,A060835,A070835,A080835,A090835
A000836,A0A0836,A020836,A030836,A040836,A050836,A060836,A070836,A080836,A090836
A000837,A0A0837,A020837,A030837,A040837,A050837,A060837,A070837,A080837,A090837
A000838,A0A0838,A020838,A030838,A040838,A050838,A060838,A070838,A080838,A090838
A000839,A0A0839,A020839,A030839,A040839,A050839,A060839,A070839,A080839,A090839
A000840,A0A0840,A020840,A030840,A040840,A050840,A060840,A070840,A080840,A090840
A00084A,A0A084A,A02084A,A03084A,A04084A,A05084A,A06084A,A07084A,A08084A,A09084A
A000842,A0A0842,A020842,A030842,A040842,A050842,A060842,A070842,A080842,A090842
A000843,A0A0843,A020843,A030843,A040843,A050843,A060843,A070843,A080843,A090843
A000844,A0A0844,A020844,A030844,A040844,A050844,A060844,A070844,A080844,A090844
A000845,A0A0845,A020845,A030845,A040845,A050845,A060845,A070845,A080845,A090845
A000846,A0A0846,A020846,A030846,A040846,A050846,A060846,A070846,A080846,A090846
A000847,A0A0847,A020847,A030847,A040847,A050847,A060847,A070847,A080847,A090847
A000848,A0A0848,A020848,A030848,A040848,A050848,A060848,A070848,A080848,A090848
A000849,A0A0849,A020849,A030849,A040849,A050849,A060849,A070849,A080849,A090849
A000850,A0A0850,A020850,A030850,A040850,A050850,A060850,A070850,A080850,A090850
A00085A,A0A085A,A02085A,A03085A,A04085A,A05085A,A06085A,A07085A,A08085A,A09085A
A000852,A0A0852,A020852,A030852,A040852,A050852,A060852,A070852,A080852,A090852
A000853,A0A0853,A020853,A030853,A040853,A050853,A060853,A070853,A080853,A090853
A000854,A0A0854,A020854,A030854,A040854,A050854,A060854,A070854,A080854,A090854
A000855,A0A0855,A020855,A030855,A040855,A050855,A060855,A070855,A080855,A090855
A000856,A0A0856,A020856,A030856,A040856,A050856,A060856,A070856,A080856,A090856
A000857,A0A0857,A020857,A030857,A040857,A050857,A060857,A070857,A080857,A090857
A000858,A0A0858,A020858,A030858,A040858,A050858,A060858,A070858,A080858,A090858
A000859,A0A0859,A020859,A030859,A040859,A050859,A060859,A070859,A080859,A090859
A000860,A0A0860,A020860,A030860,A040860,A050860,A060860,A070860,A080860,A090860
A00086A,A0A086A,A02086A,A03086A,A04086A,A05086A,A06086A,A07086A,A08086A,A09086A
A000862,A0A0862,A020862,A030862,A040862,A050862,A060862,A070862,A080862,A090862
A000863,A0A0863,A020863,A030863,A040863,A050863,A060863,A070863,A080863,A090863
A000864,A0A0864,A020864,A030864,A040864,A050864,A060864,A070864,A080864,A090864
A000865,A0A0865,A020865,A030865,A040865,A050865,A060865,A070865,A080865,A090865
A000866,A0A0866,A020866,A030866,A040866,A050866,A060866,A070866,A080866,A090866
A000867,A0A0867,A020867,A030867,A040867,A050867,A060867,A070867,A080867,A090867
A000868,A0A0868,A020868,A030868,A040868,A050868,A060868,A070868,A080868,A090868
A000869,A0A0869,A020869,A030869,A040869,A050869,A060869,A070869,A080869,A090869
A000870,A0A0870,A020870,A030870,A040870,A050870,A060870,A070870,A080870,A090870
A00087A,A0A087A,A02087A,A03087A,A04087A,A05087A,A06087A,A07087A,A08087A,A09087A
A000872,A0A0872,A020872,A030872,A040872,A050872,A060872,A070872,A080872,A090872
A000873,A0A0873,A020873,A030873,A040873,A050873,A060873,A070873,A080873,A090873
A000874,A0A0874,A020874,A030874,A040874,A050874,A060874,A070874,A080874,A090874
A000875,A0A0875,A020875,A030875,A040875,A050875,A060875,A070875,A080875,A090875
A000876,A0A0876,A020876,A030876,A040876,A050876,A060876,A070876,A080876,A090876
A000877,A0A0877,A020877,A030877,A040877,A050877,A060877,A070877,A080877,A090877
A000878,A0A0878,A020878,A030878,A040878,A050878,A060878,A070878,A080878,A090878
A000879,A0A0879,A020879,A030879,A040879,A050879,A060879,A070879,A080879,A090879
A000880,A0A0880,A020880,A030880,A040880,A050880,A060880,A070880,A080880,A090880
A00088A,A0A088A,A02088A,A03088A,A04088A,A05088A,A06088A,A07088A,A08088A,A09088A
A000882,A0A0882,A020882,A030882,A040882,A050882,A060882,A070882,A080882,A090882
A000883,A0A0883,A020883,A030883,A040883,A050883,A060883,A070883,A080883,A090883
A000884,A0A0884,A020884,A030884,A040884,A050884,A060884,A070884,A080884,A090884
A000885,A0A0885,A020885,A030885,A040885,A050885,A060885,A070885,A080885,A090885
A000886,A0A0886,A020886,A030886,A040886,A050886,A060886,A070886,A080886,A090886
A000887,A0A0887,A020887,A030887,A040887,A050887,A060887,A070887,A080887,A090887
A000888,A0A0888,A020888,A030888,A040888,A050888,A060888,A070888,A080888,A090888
A000889,A0A0889,A020889,A030889,A040889,A050889,A060889,A070889,A080889,A090889
A000890,A0A0890,A020890,A030890,A040890,A050890,A060890,A070890,A080890,A090890
A00089A,A0A089A,A02089A,A03089A,A04089A,A05089A,A06089A,A07089A,A08089A,A09089A
A000892,A0A0892,A020892,A030892,A040892,A050892,A060892,A070892,A080892,A090892
A000893,A0A0893,A020893,A030893,A040893,A050893,A060893,A070893,A080893,A090893
A000894,A0A0894,A020894,A030894,A040894,A050894,A060894,A070894,A080894,A090894
A000895,A0A0895,A020895,A030895,A040895,A050895,A060895,A070895,A080895,A090895
A000896,A0A0896,A020896,A030896,A040896,A050896,A060896,A070896,A080896,A090896
A000897,A0A0897,A020897,A030897,A040897,A050897,A060897,A070897,A080897,A090897
A000898,A0A0898,A020898,A030898,A040898,A050898,A060898,A070898,A080898,A090898
A000899,A0A0899,A020899,A030899,A040899,A050899,A060899,A070899,A080899,A090899
A000900,A0A0900,A020900,A030900,A040900,A050900,A060900,A070900,A080900,A090900
A00090A,A0A090A,A02090A,A03090A,A04090A,A05090A,A06090A,A07090A,A08090A,A09090A
A000902,A0A0902,A020902,A030902,A040902,A050902,A060902,A070902,A080902,A090902
A000903,A0A0903,A020903,A030903,A040903,A050903,A060903,A070903,A080903,A090903
A000904,A0A0904,A020904,A030904,A040904,A050904,A060904,A070904,A080904,A090904
A000905,A0A0905,A020905,A030905,A040905,A050905,A060905,A070905,A080905,A090905
A000906,A0A0906,A020906,A030906,A040906,A050906,A060906,A070906,A080906,A090906
A000907,A0A0907,A020907,A030907,A040907,A050907,A060907,A070907,A080907,A090907
A000908,A0A0908,A020908,A030908,A040908,A050908,A060908,A070908,A080908,A090908
A000909,A0A0909,A020909,A030909,A040909,A050909,A060909,A070909,A080909,A090909
A0009A0,A0A09A0,A0209A0,A0309A0,A0409A0,A0509A0,A0609A0,A0709A0,A0809A0,A0909A0
A0009AA,A0A09AA,A0209AA,A0309AA,A0409AA,A0509AA,A0609AA,A0709AA,A0809AA,A0909AA
A0009A2,A0A09A2,A0209A2,A0309A2,A0409A2,A0509A2,A0609A2,A0709A2,A0809A2,A0909A2
A0009A3,A0A09A3,A0209A3,A0309A3,A0409A3,A0509A3,A0609A3,A0709A3,A0809A3,A0909A3
